epoch,step,train_loss
0,49,4.459913730621338
1,99,3.807792901992798
2,149,3.799409866333008
3,199,3.557166337966919
4,249,3.6692349910736084
5,299,3.6614601612091064
6,349,3.604492425918579
7,399,3.6130685806274414
8,449,3.5524086952209473
9,499,3.6098134517669678
10,549,3.4979803562164307
11,599,3.639918565750122
12,649,3.4123568534851074
13,699,3.618758201599121
14,749,3.4745986461639404
15,799,3.6181139945983887
16,849,3.4197609424591064
17,899,3.5606071949005127
18,949,3.4117822647094727
19,999,3.570411443710327
20,1049,3.452303409576416
21,1099,3.515246629714966
22,1149,3.5242321491241455
23,1199,3.4103329181671143
24,1249,3.4571750164031982
25,1299,3.3696932792663574
26,1349,3.4746921062469482
27,1399,3.3537356853485107
28,1449,3.5586917400360107
29,1499,3.3411264419555664
30,1549,3.4512381553649902
31,1599,3.37827730178833
32,1649,3.4701426029205322
33,1699,3.3926281929016113
34,1749,3.309535026550293
35,1799,3.3874192237854004
36,1849,3.348290205001831
37,1899,3.4440152645111084
38,1949,3.3772006034851074
39,1999,3.435546636581421
40,2049,3.283290386199951
41,2099,3.415350914001465
42,2149,3.298041343688965
43,2199,3.3832225799560547
44,2249,3.305201768875122
45,2299,3.364076852798462
46,2349,3.3351798057556152
47,2399,3.3454456329345703
48,2449,3.2833240032196045
49,2499,3.372749090194702
50,2549,3.27632474899292
51,2599,3.310195207595825
52,2649,3.3735055923461914
53,2699,3.3194942474365234
54,2749,3.3386805057525635
55,2799,3.279665470123291
56,2849,3.3808155059814453
57,2899,3.258342981338501
58,2949,3.3381149768829346
59,2999,3.3467788696289062
60,3049,3.2901971340179443
61,3099,3.446559429168701
62,3149,3.281994342803955
63,3199,3.3571274280548096
64,3249,3.199584722518921
65,3299,3.3971755504608154
66,3349,3.3007442951202393
67,3399,3.2773711681365967
68,3449,3.3821628093719482
69,3499,3.257213830947876
70,3549,3.2563562393188477
71,3599,3.2320966720581055
72,3649,3.3654236793518066
73,3699,3.1518795490264893
74,3749,3.29756498336792
75,3799,3.331071138381958
76,3849,3.3073530197143555
77,3899,3.347561836242676
78,3949,3.239074468612671
79,3999,3.3445017337799072
80,4049,3.2004024982452393
81,4099,3.2659387588500977
82,4149,3.227158784866333
83,4199,3.304994821548462
84,4249,3.2203948497772217
85,4299,3.27475643157959
86,4349,3.284217119216919
87,4399,3.1876730918884277
88,4449,3.243549108505249
89,4499,3.1648056507110596
90,4549,3.2289230823516846
91,4599,3.1847612857818604
92,4649,3.298266887664795
93,4699,3.1872406005859375
94,4749,3.2770349979400635
95,4799,3.1491174697875977
96,4849,3.3100931644439697
97,4899,3.162656784057617
98,4949,3.3036770820617676
99,4999,3.2163846492767334
100,5049,3.215271234512329
101,5099,3.179730176925659
102,5149,3.2615292072296143
103,5199,3.3663253784179688
104,5249,3.17977237701416
105,5299,3.304750680923462
106,5349,3.179248094558716
107,5399,3.277386426925659
108,5449,3.1587698459625244
109,5499,3.2292428016662598
110,5549,3.214627265930176
111,5599,3.2681524753570557
112,5649,3.257821559906006
113,5699,3.2772412300109863
114,5749,3.1304008960723877
115,5799,3.3216476440429688
116,5849,3.1038918495178223
117,5899,3.3340823650360107
118,5949,3.2659378051757812
119,5999,3.2117726802825928
