epoch,step,train_loss
0,49,8.418327331542969
1,99,7.797602653503418
2,149,7.369647979736328
3,199,7.255942344665527
4,249,7.112607955932617
5,299,7.044012546539307
6,349,7.00599479675293
7,399,6.948281764984131
8,449,6.997373104095459
9,499,6.9263529777526855
10,549,6.840398788452148
11,599,6.846550941467285
12,649,6.782839298248291
13,699,6.835168838500977
14,749,6.779551982879639
15,799,6.755460739135742
16,849,6.794262886047363
17,899,6.799104690551758
18,949,6.684696197509766
19,999,6.752499580383301
20,1049,6.777491569519043
21,1099,6.761407375335693
22,1149,6.698109149932861
23,1199,6.762197971343994
24,1249,6.733474254608154
25,1299,6.668796539306641
26,1349,6.734824180603027
27,1399,6.717064380645752
28,1449,6.636168956756592
29,1499,6.700182914733887
30,1549,6.687087535858154
31,1599,6.69500732421875
32,1649,6.792800426483154
33,1699,6.6505537033081055
34,1749,6.6148505210876465
35,1799,6.709535598754883
36,1849,6.6826887130737305
37,1899,6.586063385009766
38,1949,6.703741073608398
39,1999,6.623452663421631
40,2049,6.73930549621582
41,2099,6.6351213455200195
42,2149,6.587484836578369
43,2199,6.607697010040283
44,2249,6.54049015045166
45,2299,6.629741668701172
46,2349,6.537653923034668
47,2399,6.634995937347412
48,2449,6.575528144836426
49,2499,6.643687725067139
50,2549,6.557681083679199
51,2599,6.571455478668213
52,2649,6.534704685211182
53,2699,6.547578811645508
54,2749,6.632574558258057
55,2799,6.614307880401611
56,2849,6.5410895347595215
57,2899,6.57569694519043
58,2949,6.472965717315674
59,2999,6.575221061706543
60,3049,6.661187648773193
61,3099,6.589369297027588
62,3149,6.574465274810791
63,3199,6.562142372131348
64,3249,6.574972152709961
65,3299,6.535726547241211
66,3349,6.507978916168213
67,3399,6.461650371551514
68,3449,6.473888397216797
69,3499,6.483029842376709
70,3549,6.512486457824707
71,3599,6.446622848510742
72,3649,6.485029697418213
73,3699,6.594883918762207
74,3749,6.486275672912598
75,3799,6.458125114440918
76,3849,6.512813091278076
77,3899,6.515535354614258
78,3949,6.439782619476318
79,3999,6.5254693031311035
80,4049,6.531682968139648
81,4099,6.388669013977051
82,4149,6.44369649887085
83,4199,6.502347469329834
84,4249,6.3973307609558105
85,4299,6.410583972930908
86,4349,6.364422798156738
87,4399,6.437079429626465
88,4449,6.535638332366943
89,4499,6.510191440582275
90,4549,6.5178704261779785
91,4599,6.403750419616699
92,4649,6.3637847900390625
93,4699,6.430741786956787
94,4749,6.381086349487305
95,4799,6.461833477020264
96,4849,6.473086357116699
97,4899,6.372790336608887
98,4949,6.434854030609131
99,4999,6.389534950256348
100,5049,6.352534770965576
101,5099,6.368902683258057
102,5149,6.459503173828125
103,5199,6.481787204742432
104,5249,6.459883213043213
105,5299,6.362242221832275
106,5349,6.365830898284912
107,5399,6.4162373542785645
108,5449,6.325230121612549
109,5499,6.3852715492248535
110,5549,6.25551700592041
111,5599,6.375953197479248
112,5649,6.385665416717529
113,5699,6.321008682250977
114,5749,6.361644744873047
115,5799,6.305984973907471
116,5849,6.369698524475098
117,5899,6.3350090980529785
118,5949,6.254706382751465
119,5999,6.39199161529541
